,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners,classe_nbRequest,classe_responsesSize,classe_domSize,classe_largestContentfulPaint,classe_cumulativeLayoutShift,classe_firstContentfulPaint,classe_speedIndex,classe_totalBlockingTime,classe_interactive,RandomNumber
16,75,75,35,100,100,75,0,100,75,0,100,0,35,100,0,100,65,0,100,0,100,97.0,100.0,100,100,0,100,0,0,96.0,0.0,59.0,100.0,100.0,89.0,75.0,0.0,100.0,36.0,100.0,100.0,93.0,100,0,100,1.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,29.0
17,75,75,0,0,0,0,0,100,20,0,100,0,0,100,0,100,0,50,0,100,100,13.0,48.0,0,0,0,100,0,0,99.0,1.0,100.0,100.0,66.0,0.0,56.00000000000001,0.0,100.0,87.0,100.0,100.0,28.000000000000004,0,0,100,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,67.0
18,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,100,100,99.0,98.0,100,100,0,100,0,0,100.0,66.0,100.0,100.0,100.0,67.0,100.0,64.0,100.0,74.0,100.0,100.0,100.0,0,0,100,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,59.0
19,0,75,0,0,100,0,50,50,65,0,100,35,75,100,0,100,65,75,100,100,100,100.0,98.0,100,0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,45.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,100.0
20,100,0,35,100,100,100,20,100,75,0,100,0,75,100,0,100,75,0,0,100,100,28.000000000000004,59.0,100,0,0,100,0,0,100.0,25.0,88.0,100.0,67.0,27.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,100,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,57.0
21,0,75,0,35,100,0,0,50,35,0,100,0,35,100,0,100,35,0,100,100,100,79.0,99.0,0,100,0,0,0,0,96.0,100.0,100.0,100.0,46.0,48.0,100.0,100.0,100.0,100.0,100.0,88.0,100.0,100,0,100,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,52.0
22,0,75,20,100,100,75,75,100,75,0,100,100,75,100,0,100,100,0,50,100,100,13.0,73.0,0,100,0,100,0,0,13.0,1.0,100.0,73.0,45.0,36.0,87.0,38.0,100.0,100.0,100.0,87.0,91.0,100,0,0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,28.0
23,0,75,0,0,100,0,0,50,35,0,100,35,75,100,0,100,35,0,0,100,100,36.0,70.0,0,0,0,0,0,0,100.0,68.0,100.0,100.0,100.0,57.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,31.0
24,0,75,0,0,100,20,0,100,35,0,100,20,0,100,0,100,75,0,0,100,100,100.0,99.0,100,100,0,0,0,0,100.0,100.0,100.0,100.0,100.0,46.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,43.0
25,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,100,100,94.0,97.0,100,100,0,100,0,0,0.0,19.0,100.0,100.0,100.0,44.0,100.0,85.0,100.0,49.0,100.0,100.0,100.0,0,0,100,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,63.0
