,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners
30,75,75,0,35,100,75,0,100,35,0,100,0,75,100,0,100,20,0,0,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,67,100,100,100,100,100,100,100,100,0,100
31,0,75,65,20,100,75,20,50,50,0,100,0,0,100,0,100,65,0,100,100,100,0,3,0,0,0,0,0,0,90,33,100,80,70,24,100,100,100,77,100,80,69,100,0,0
32,0,75,0,35,100,0,0,50,20,0,100,35,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,50,0,100,0,0,100,50,0,100,0,100,100,0,100,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,100,75,0,50,35,0,100,0,100,100,0,100,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,75,0,0,100,50,0,0,20,0,100,0,0,100,0,35,0,0,0,100,100,1,7,0,100,0,100,0,0,86,27,100,100,100,41,88,88,100,100,100,100,100,0,0,100
36,0,0,35,0,100,75,50,100,75,50,100,0,35,100,0,100,100,0,100,0,100,100,100,100,0,0,100,0,0,100,16,100,100,100,100,88,58,88,67,100,100,100,100,0,100
37,75,75,0,0,100,0,0,0,35,0,100,20,0,100,0,35,35,0,0,100,0,0,4,0,0,0,0,0,0,86,0,0,0,39,0,100,0,45,0,100,98,0,0,0,0
38,0,75,0,0,100,0,0,100,20,0,100,100,100,100,0,100,35,0,0,100,0,16,60,0,0,0,0,0,0,99,0,100,0,73,34,100,0,64,100,100,88,14,100,0,0
39,0,20,20,0,100,100,50,100,20,0,100,0,100,100,0,100,65,50,0,100,100,100,100,0,100,0,100,0,0,100,17,100,100,87,33,100,50,18,100,100,100,100,100,0,100
40,0,75,0,20,100,75,0,0,20,0,100,0,75,100,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,14,16,49,87,47,0,0,0,100,100,100,74,0,100,0,0
41,20,65,0,0,100,0,0,100,35,0,100,0,100,100,0,100,0,0,0,100,100,94,99,0,100,0,100,0,0,95,71,100,100,67,48,100,100,100,100,100,71,100,100,0,0
42,0,0,35,0,100,0,0,50,35,0,100,0,0,100,0,100,0,0,0,100,100,15,44,100,0,0,100,0,0,25,3,42,100,49,26,100,27,100,100,100,100,78,100,0,0
43,0,75,100,100,100,100,100,50,100,0,100,0,100,100,0,100,100,0,100,0,100,90,99,0,100,0,100,0,0,100,11,67,100,100,43,4,0,100,6,100,100,40,0,0,100
44,100,75,35,0,100,0,0,100,20,0,100,0,75,100,0,100,35,0,0,100,100,0,5,0,0,0,100,0,0,97,6,100,100,50,15,100,67,38,100,100,100,95,0,0,100
45,0,65,0,0,100,0,0,50,20,0,100,0,100,100,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,5,58,74,35,87,5,100,100,100,100,23,0,0,0
46,50,75,0,0,100,0,0,100,0,0,100,0,0,100,0,35,0,0,0,100,100,36,64,0,100,0,0,0,0,47,25,100,88,78,38,64,35,57,54,100,100,99,100,0,0
47,50,75,0,0,100,20,0,0,20,0,100,0,0,100,0,100,0,0,0,100,100,97,98,100,100,0,100,0,0,99,26,100,100,88,100,100,58,100,98,100,100,100,100,0,100
48,50,65,0,0,100,0,0,0,0,0,100,20,0,100,0,100,0,0,0,100,100,17,81,100,100,0,0,0,0,0,71,75,88,43,67,100,48,100,49,100,100,100,100,0,100
49,50,75,65,100,100,0,0,100,65,0,100,0,100,100,0,100,0,0,100,100,100,47,80,0,0,0,100,0,0,56,1,14,0,86,33,66,22,100,35,100,75,92,100,0,100
50,0,75,0,100,100,0,0,100,0,0,100,0,100,0,0,100,0,0,0,100,0,22,49,100,0,0,0,0,0,66,30,32,40,100,0,100,87,100,100,100,87,74,100,0,100
51,0,0,100,100,100,100,100,50,100,0,100,0,75,100,0,100,100,0,100,0,100,99,100,100,100,0,100,0,0,99,5,100,100,100,100,57,26,85,62,100,100,100,0,0,100
52,100,75,0,100,100,0,0,100,65,0,100,100,100,100,0,100,75,0,100,100,100,3,14,100,0,0,100,0,0,98,2,100,100,100,0,100,63,10,100,100,100,90,100,0,0
53,50,75,0,0,100,50,0,100,0,0,100,0,0,100,0,100,65,0,0,100,0,66,92,0,100,0,100,0,0,64,0,100,76,0,0,76,35,0,33,100,100,41,0,0,100
54,0,75,100,35,100,100,50,100,75,0,100,100,100,100,0,100,65,100,100,100,100,88,97,100,100,0,100,0,0,97,96,100,18,75,88,27,0,100,100,100,100,79,100,0,0
55,75,75,0,0,100,50,0,100,35,0,100,35,100,100,0,100,65,0,100,100,100,0,4,0,100,0,0,0,0,56,89,100,48,57,48,100,50,100,43,100,100,100,0,0,0
56,20,65,0,35,100,50,0,0,20,0,100,0,100,100,0,100,0,0,0,100,100,45,60,0,100,0,0,0,0,100,9,100,100,100,24,100,100,100,100,100,100,100,100,0,100
57,100,75,65,20,100,0,0,100,75,0,100,0,100,100,0,100,75,0,0,100,100,1,18,0,0,0,100,0,0,83,5,0,41,75,30,0,0,100,100,100,100,2,100,0,100
58,50,75,0,0,100,0,0,100,0,0,100,0,0,100,100,100,0,0,0,100,0,38,71,0,100,0,100,0,0,19,17,100,27,87,44,87,36,100,100,100,100,100,0,0,0
