,urlName,domSize,nbRequest,responsesSize,ecoIndex,grade,performance,accessibility,largestContentfulPaint,cumulativeLayoutShift,firstContentfulPaint,speedIndex,totalBlockingTime,interactive,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,imageDownloadedNotDisplayed,jsValidate,maxCookiesLength,minifiedCss,minifiedJs,noCookieForStaticRessources,noRedirect,optimizeBitmapImages,optimizeSvg,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,criticalRequestChains,mainthreadWorkBreakdown,bootupTime,usesRelPreload,fontDisplay,networkRtt,networkServerLatency,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,preloadLcpImage,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unminifiedCss,unminifiedJavascript,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,duplicatedJavascript,legacyJavascript,totalByteWeight,noDocumentWrite,redirects,layoutShiftElements,usesPassiveEventListeners
13,http://10bestthings.com,0.0,4,250,90,A,80,86,59,100,41,88,94,88,100,75,75,100,100,100,50,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,94.0,97.0,0,100,0,0,100,0,100,0,0,100,19.0,100.0,100.0,100.0,88.0,100.0,44.0,100.0,85.0,100.0,49.0,100.0,100.0,100.0,100.0,0,100.0,0,100
14,http://10xtechnologies.com,0.0,85,2564,37,D,33,78,0,62,52,31,49,9,50,75,0,0,100,0,0,100,35,50,0,100,0,100,100,0,100,100,100,0,100,100,0,100,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
15,http://10x10room.com,90.0,37,1760,50,D,72,79,2,99,74,95,100,97,0,75,65,20,100,75,20,50,50,100,0,100,0,0,100,0,100,100,100,0,100,65,0,100,100,100,0,0.0,3.0,0,0,0,0,0,0,0,0,0,100,33.0,100.0,80.0,100.0,100.0,70.0,24.0,100.0,100.0,100.0,77.0,100.0,100.0,80.0,69.0,100,100.0,0,0
16,http://www.121nexus.com,0.0,22,1417,67,B,52,83,0,91,33,32,94,34,0,75,20,100,100,100,0,100,75,50,0,100,0,0,100,35,100,100,100,0,100,100,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
17,http://www.12Society.com,100.0,4,249,90,A,78,86,65,100,45,92,81,88,100,75,75,100,100,100,50,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,53.0,75.0,0,100,0,0,0,0,0,0,0,100,65.0,100.0,100.0,100.0,88.0,100.0,48.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,100.0,0,100.0,0,0
18,http://www.1366tech.com,100.0,76,919,43,D,57,88,4,100,23,59,91,67,100,75,65,0,100,0,0,100,35,100,0,100,0,0,100,75,100,100,100,0,100,0,75,0,100,100,0,50.0,73.0,0,0,0,0,0,0,0,0,0,100,42.0,87.0,56.00000000000001,100.0,100.0,85.0,35.0,100.0,46.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,0,100
19,http://140proof.com,99.0,151,7855,5,G,19,66,0,100,1,1,12,0,75,75,0,0,0,0,0,100,20,0,0,100,100,0,100,0,100,100,100,0,100,0,50,0,100,100,0,13.0,48.0,0,0,0,0,0,0,100,0,0,0,1.0,100.0,100.0,100.0,100.0,66.0,0.0,56.00000000000001,0.0,100.0,87.0,100.0,100.0,100.0,28.000000000000004,0,0.0,0,100
20,http://140fire.com,100.0,10,133,89,A,92,63,87,81,96,97,98,89,100,75,35,100,100,75,20,100,100,100,0,100,0,100,100,75,100,100,100,0,100,100,75,100,100,100,0,100.0,100.0,0,100,0,0,100,0,0,0,0,100,100.0,100.0,100.0,100.0,100.0,100.0,57.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,49.0,0,100
21,http://15five.com,100.0,53,885,44,D,47,98,13,100,25,59,63,13,100,75,0,0,100,0,0,100,35,50,0,100,0,0,100,35,100,100,100,0,100,35,50,0,100,0,0,91.0,96.0,0,0,0,0,100,0,0,0,0,100,2.0,94.0,100.0,100.0,100.0,94.0,70.0,45.0,8.0,100.0,100.0,100.0,100.0,100.0,100.0,100,39.0,0,0
22,http://www.junebugreview.com,100.0,4,250,90,A,79,86,66,100,45,93,83,88,100,75,75,100,100,100,50,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,99.0,98.0,0,100,0,0,100,0,100,0,0,100,66.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,64.0,100.0,74.0,100.0,100.0,100.0,100.0,0,100.0,0,100
